prediction_time,image_time,forecast_end,prediction_label,probability,image_path,pred_binary,gt_label,matched_goes
2026-03-25T20:51:22.793056,2/14/2026 16:00,2/15/2026 4:00,No Flare,0.693313837,data\hmi_jpg\2026\02\14\HMI.m2026.02.14_16.00.00.jpg,0,1,"B6.8, B7.6, B6.1, B6.5"
2026-03-25T20:51:22.882585,2/14/2026 17:00,2/15/2026 5:00,No Flare,0.701829374,data\hmi_jpg\2026\02\14\HMI.m2026.02.14_17.00.00.jpg,0,1,"B7.6, B6.1, B6.5"
2026-03-25T20:51:22.963053,2/14/2026 18:00,2/15/2026 6:00,No Flare,0.625637412,data\hmi_jpg\2026\02\14\HMI.m2026.02.14_18.00.00.jpg,0,1,"B7.6, B6.1, B6.5"
2026-03-25T20:51:23.040734,2/14/2026 19:00,2/15/2026 7:00,No Flare,0.697362483,data\hmi_jpg\2026\02\14\HMI.m2026.02.14_19.00.00.jpg,0,1,"B7.6, B6.1, B6.5"
2026-03-25T20:51:23.127235,2/14/2026 20:00,2/15/2026 8:00,No Flare,0.67463243,data\hmi_jpg\2026\02\14\HMI.m2026.02.14_20.00.00.jpg,0,1,"B7.6, B6.1, B6.5, C1.3"
2026-03-25T20:51:23.212485,2/14/2026 21:00,2/15/2026 9:00,No Flare,0.622518301,data\hmi_jpg\2026\02\14\HMI.m2026.02.14_21.00.00.jpg,0,1,"B7.6, B6.1, B6.5, C1.3"
2026-03-25T20:51:23.287413,2/14/2026 22:00,2/15/2026 10:00,No Flare,0.65054667,data\hmi_jpg\2026\02\14\HMI.m2026.02.14_22.00.00.jpg,0,1,"B6.1, B6.5, C1.3"
2026-03-25T20:51:23.360776,2/14/2026 23:00,2/15/2026 11:00,No Flare,0.701198399,data\hmi_jpg\2026\02\14\HMI.m2026.02.14_23.00.00.jpg,0,1,"B6.5, C1.3"
2026-03-25T20:51:23.429412,2/15/2026 0:00,2/15/2026 12:00,No Flare,0.714173138,data\hmi_jpg\2026\02\15\HMI.m2026.02.15_00.00.00.jpg,0,1,"B6.5, C1.3"
2026-03-25T20:51:23.511381,2/15/2026 1:00,2/15/2026 13:00,No Flare,0.677176595,data\hmi_jpg\2026\02\15\HMI.m2026.02.15_01.00.00.jpg,0,1,"B6.5, C1.3"
2026-03-25T20:51:23.590230,2/15/2026 2:00,2/15/2026 14:00,No Flare,0.679923654,data\hmi_jpg\2026\02\15\HMI.m2026.02.15_02.00.00.jpg,0,1,"B6.5, C1.3"
2026-03-25T20:51:23.670451,2/15/2026 3:00,2/15/2026 15:00,No Flare,0.614702046,data\hmi_jpg\2026\02\15\HMI.m2026.02.15_03.00.00.jpg,0,1,"B6.5, C1.3"
2026-03-25T20:51:23.748109,2/15/2026 4:00,2/15/2026 16:00,No Flare,0.543249846,data\hmi_jpg\2026\02\15\HMI.m2026.02.15_04.00.00.jpg,0,1,C1.3
2026-03-25T20:51:23.835022,2/15/2026 5:00,2/15/2026 17:00,No Flare,0.561005712,data\hmi_jpg\2026\02\15\HMI.m2026.02.15_05.00.00.jpg,0,1,"C1.3, B7.3"
2026-03-25T20:51:23.919677,2/15/2026 6:00,2/15/2026 18:00,Flare,0.51285696,data\hmi_jpg\2026\02\15\HMI.m2026.02.15_06.00.00.jpg,1,1,"C1.3, B7.3"
2026-03-25T20:51:23.993339,2/15/2026 7:00,2/15/2026 19:00,No Flare,0.521452785,data\hmi_jpg\2026\02\15\HMI.m2026.02.15_07.00.00.jpg,0,1,"C1.3, B7.3"
2026-03-25T20:51:24.073284,2/15/2026 8:00,2/15/2026 20:00,No Flare,0.580787063,data\hmi_jpg\2026\02\15\HMI.m2026.02.15_08.00.00.jpg,0,1,B7.3
2026-03-25T20:51:24.150153,2/15/2026 9:00,2/15/2026 21:00,No Flare,0.542030513,data\hmi_jpg\2026\02\15\HMI.m2026.02.15_09.00.00.jpg,0,1,"B7.3, C1.8"
2026-03-25T20:51:24.223143,2/15/2026 10:00,2/15/2026 22:00,Flare,0.56047833,data\hmi_jpg\2026\02\15\HMI.m2026.02.15_10.00.00.jpg,1,1,"B7.3, C1.8"
2026-03-25T20:51:24.307760,2/15/2026 11:00,2/15/2026 23:00,Flare,0.569660902,data\hmi_jpg\2026\02\15\HMI.m2026.02.15_11.00.00.jpg,1,1,"B7.3, C1.8"
2026-03-25T20:51:24.391404,2/15/2026 12:00,2/16/2026 0:00,Flare,0.618057787,data\hmi_jpg\2026\02\15\HMI.m2026.02.15_12.00.00.jpg,1,1,"B7.3, C1.8"
2026-03-25T20:51:24.468808,2/15/2026 13:00,2/16/2026 1:00,Flare,0.674060881,data\hmi_jpg\2026\02\15\HMI.m2026.02.15_13.00.00.jpg,1,1,"B7.3, C1.8"
2026-03-25T20:51:24.553978,2/15/2026 14:00,2/16/2026 2:00,Flare,0.689135492,data\hmi_jpg\2026\02\15\HMI.m2026.02.15_14.00.00.jpg,1,1,"B7.3, C1.8"
2026-03-25T20:51:24.629828,2/15/2026 15:00,2/16/2026 3:00,Flare,0.676516235,data\hmi_jpg\2026\02\15\HMI.m2026.02.15_15.00.00.jpg,1,1,"B7.3, C1.8"
2026-03-25T20:51:24.701668,2/15/2026 16:00,2/16/2026 4:00,Flare,0.652529776,data\hmi_jpg\2026\02\15\HMI.m2026.02.15_16.00.00.jpg,1,1,"B7.3, C1.8"
2026-03-25T20:51:24.784886,2/15/2026 17:00,2/16/2026 5:00,Flare,0.548542857,data\hmi_jpg\2026\02\15\HMI.m2026.02.15_17.00.00.jpg,1,1,"C1.8, M2.5"
2026-03-25T20:51:24.866254,2/15/2026 18:00,2/16/2026 6:00,Flare,0.579479098,data\hmi_jpg\2026\02\15\HMI.m2026.02.15_18.00.00.jpg,1,1,"C1.8, M2.5"
2026-03-25T20:51:24.942448,2/15/2026 19:00,2/16/2026 7:00,Flare,0.633119643,data\hmi_jpg\2026\02\15\HMI.m2026.02.15_19.00.00.jpg,1,1,"C1.8, M2.5"
2026-03-25T20:51:25.022324,2/15/2026 20:00,2/16/2026 8:00,Flare,0.614801407,data\hmi_jpg\2026\02\15\HMI.m2026.02.15_20.00.00.jpg,1,1,"C1.8, M2.5"
2026-03-25T20:51:25.104454,2/15/2026 21:00,2/16/2026 9:00,Flare,0.571522653,data\hmi_jpg\2026\02\15\HMI.m2026.02.15_21.00.00.jpg,1,1,M2.5
2026-03-25T20:51:25.179289,2/15/2026 22:00,2/16/2026 10:00,Flare,0.552220702,data\hmi_jpg\2026\02\15\HMI.m2026.02.15_22.00.00.jpg,1,1,M2.5
2026-03-25T20:51:25.260687,2/15/2026 23:00,2/16/2026 11:00,Flare,0.527591944,data\hmi_jpg\2026\02\15\HMI.m2026.02.15_23.00.00.jpg,1,1,M2.5
2026-03-25T20:51:25.347956,2/16/2026 0:00,2/16/2026 12:00,Flare,0.578000724,data\hmi_jpg\2026\02\16\HMI.m2026.02.16_00.00.00.jpg,1,1,M2.5
2026-03-25T20:51:25.428387,2/16/2026 1:00,2/16/2026 13:00,Flare,0.559662163,data\hmi_jpg\2026\02\16\HMI.m2026.02.16_01.00.00.jpg,1,1,"M2.5, C1.1, C1.0"
2026-03-25T20:51:25.501691,2/16/2026 2:00,2/16/2026 14:00,No Flare,0.510377586,data\hmi_jpg\2026\02\16\HMI.m2026.02.16_02.00.00.jpg,0,1,"M2.5, C1.1, C1.0"
2026-03-25T20:51:25.576025,2/16/2026 3:00,2/16/2026 15:00,Flare,0.51276046,data\hmi_jpg\2026\02\16\HMI.m2026.02.16_03.00.00.jpg,1,1,"M2.5, C1.1, C1.0"
2026-03-25T20:51:25.658548,2/16/2026 4:00,2/16/2026 16:00,Flare,0.629656255,data\hmi_jpg\2026\02\16\HMI.m2026.02.16_04.00.00.jpg,1,1,"M2.5, C1.1, C1.0, B6.8"
2026-03-25T20:51:25.740652,2/16/2026 5:00,2/16/2026 17:00,Flare,0.590797067,data\hmi_jpg\2026\02\16\HMI.m2026.02.16_05.00.00.jpg,1,1,"C1.1, C1.0, B6.8"
2026-03-25T20:51:25.814956,2/16/2026 6:00,2/16/2026 18:00,Flare,0.53250432,data\hmi_jpg\2026\02\16\HMI.m2026.02.16_06.00.00.jpg,1,1,"C1.1, C1.0, B6.8, B6.3"
2026-03-25T20:51:25.886852,2/16/2026 7:00,2/16/2026 19:00,No Flare,0.515775025,data\hmi_jpg\2026\02\16\HMI.m2026.02.16_07.00.00.jpg,0,1,"C1.1, C1.0, B6.8, B6.3, B7.2, B7.3"
2026-03-25T20:51:25.966853,2/16/2026 8:00,2/16/2026 20:00,Flare,0.522892177,data\hmi_jpg\2026\02\16\HMI.m2026.02.16_08.00.00.jpg,1,1,"C1.1, C1.0, B6.8, B6.3, B7.2, B7.3"
